"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"1","SMC4K2P",45,0,"ConsensusLogLL",-5009.41098710726,"sim--1685082739.msf",296387,45,40
"2","SMC4K2P",45,0,"BestSampledLogLL",-5008.08030787542,"sim--1685082739.msf",296387,45,40
"3","SMC4K2P",45,0,"PartitionMetric",20,"sim--1685082739.msf",296387,45,40
"4","SMC4K2P",45,0,"RobinsonFouldsMetric",0.18980665470882,"sim--1685082739.msf",296387,45,40
"5","SMC4K2P",45,0,"KuhnerFelsenstein",0.00112899377076753,"sim--1685082739.msf",296387,45,40
"6","SMC4K2P",45,1,"ConsensusLogLL",-4996.4629914527,"sim--1685082739.msf",281751,45,40
"7","SMC4K2P",45,1,"BestSampledLogLL",-4995.85406384654,"sim--1685082739.msf",281751,45,40
"8","SMC4K2P",45,1,"PartitionMetric",22,"sim--1685082739.msf",281751,45,40
"9","SMC4K2P",45,1,"RobinsonFouldsMetric",0.144683414405548,"sim--1685082739.msf",281751,45,40
"10","SMC4K2P",45,1,"KuhnerFelsenstein",0.000639524031159877,"sim--1685082739.msf",281751,45,40
"11","SMC4K2P",45,2,"ConsensusLogLL",-5016.38446730314,"sim--1685082739.msf",298636,45,40
"12","SMC4K2P",45,2,"BestSampledLogLL",-5016.31443239728,"sim--1685082739.msf",298636,45,40
"13","SMC4K2P",45,2,"PartitionMetric",22,"sim--1685082739.msf",298636,45,40
"14","SMC4K2P",45,2,"RobinsonFouldsMetric",0.202741835395651,"sim--1685082739.msf",298636,45,40
"15","SMC4K2P",45,2,"KuhnerFelsenstein",0.00113368561151878,"sim--1685082739.msf",298636,45,40
"16","SMC4K2P",45,3,"ConsensusLogLL",-5018.71836455423,"sim--1685082739.msf",291694,45,40
"17","SMC4K2P",45,3,"BestSampledLogLL",-5017.83956770982,"sim--1685082739.msf",291694,45,40
"18","SMC4K2P",45,3,"PartitionMetric",20,"sim--1685082739.msf",291694,45,40
"19","SMC4K2P",45,3,"RobinsonFouldsMetric",0.212055400702471,"sim--1685082739.msf",291694,45,40
"20","SMC4K2P",45,3,"KuhnerFelsenstein",0.00150189576553142,"sim--1685082739.msf",291694,45,40
"21","SMC4K2P",45,4,"ConsensusLogLL",-5013.60820248212,"sim--1685082739.msf",303472,45,40
"22","SMC4K2P",45,4,"BestSampledLogLL",-5010.17565525244,"sim--1685082739.msf",303472,45,40
"23","SMC4K2P",45,4,"PartitionMetric",20,"sim--1685082739.msf",303472,45,40
"24","SMC4K2P",45,4,"RobinsonFouldsMetric",0.200194349325137,"sim--1685082739.msf",303472,45,40
"25","SMC4K2P",45,4,"KuhnerFelsenstein",0.00117677516265766,"sim--1685082739.msf",303472,45,40
"26","SMC4K2P",45,5,"ConsensusLogLL",-5008.30819918204,"sim--1685082739.msf",298967,45,40
"27","SMC4K2P",45,5,"BestSampledLogLL",-5007.30368367099,"sim--1685082739.msf",298967,45,40
"28","SMC4K2P",45,5,"PartitionMetric",20,"sim--1685082739.msf",298967,45,40
"29","SMC4K2P",45,5,"RobinsonFouldsMetric",0.185953112464723,"sim--1685082739.msf",298967,45,40
"30","SMC4K2P",45,5,"KuhnerFelsenstein",0.00110689284254266,"sim--1685082739.msf",298967,45,40
"31","SMC4K2P",45,6,"ConsensusLogLL",-5009.40014907661,"sim--1685082739.msf",292922,45,40
"32","SMC4K2P",45,6,"BestSampledLogLL",-5006.88764961478,"sim--1685082739.msf",292922,45,40
"33","SMC4K2P",45,6,"PartitionMetric",20,"sim--1685082739.msf",292922,45,40
"34","SMC4K2P",45,6,"RobinsonFouldsMetric",0.17569610481662,"sim--1685082739.msf",292922,45,40
"35","SMC4K2P",45,6,"KuhnerFelsenstein",0.00106356331148789,"sim--1685082739.msf",292922,45,40
"36","SMC4K2P",45,7,"ConsensusLogLL",-5017.87442210133,"sim--1685082739.msf",315980,45,40
"37","SMC4K2P",45,7,"BestSampledLogLL",-5017.53798878093,"sim--1685082739.msf",315980,45,40
"38","SMC4K2P",45,7,"PartitionMetric",22,"sim--1685082739.msf",315980,45,40
