"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"1","SMC4K2PBF",30,0,"ConsensusLogLL",-5002.84671741978,"sim--1685082739.msf",1535269,30,40
"2","SMC4K2PBF",30,0,"BestSampledLogLL",-5001.99249971812,"sim--1685082739.msf",1535269,30,40
"3","SMC4K2PBF",30,0,"PartitionMetric",18,"sim--1685082739.msf",1535269,30,40
"4","SMC4K2PBF",30,0,"RobinsonFouldsMetric",0.193960243729353,"sim--1685082739.msf",1535269,30,40
"5","SMC4K2PBF",30,0,"KuhnerFelsenstein",0.000921519059541861,"sim--1685082739.msf",1535269,30,40
"6","SMC4K2PBF",30,1,"ConsensusLogLL",-4988.15632303743,"sim--1685082739.msf",1153733,30,40
"7","SMC4K2PBF",30,1,"BestSampledLogLL",-4987.83512044131,"sim--1685082739.msf",1153733,30,40
"8","SMC4K2PBF",30,1,"PartitionMetric",16,"sim--1685082739.msf",1153733,30,40
"9","SMC4K2PBF",30,1,"RobinsonFouldsMetric",0.131499743524794,"sim--1685082739.msf",1153733,30,40
"10","SMC4K2PBF",30,1,"KuhnerFelsenstein",0.00044100626797023,"sim--1685082739.msf",1153733,30,40
"11","SMC4K2PBF",30,2,"ConsensusLogLL",-5022.95737537848,"sim--1685082739.msf",1509994,30,40
"12","SMC4K2PBF",30,2,"BestSampledLogLL",-5022.17131269917,"sim--1685082739.msf",1509994,30,40
"13","SMC4K2PBF",30,2,"PartitionMetric",30,"sim--1685082739.msf",1509994,30,40
"14","SMC4K2PBF",30,2,"RobinsonFouldsMetric",0.162392863641125,"sim--1685082739.msf",1509994,30,40
"15","SMC4K2PBF",30,2,"KuhnerFelsenstein",0.000627950158529974,"sim--1685082739.msf",1509994,30,40
"16","SMC4K2PBF",30,3,"ConsensusLogLL",-5003.63358905927,"sim--1685082739.msf",1432491,30,40
"17","SMC4K2PBF",30,3,"BestSampledLogLL",-5004.20914563579,"sim--1685082739.msf",1432491,30,40
"18","SMC4K2PBF",30,3,"PartitionMetric",22,"sim--1685082739.msf",1432491,30,40
"19","SMC4K2PBF",30,3,"RobinsonFouldsMetric",0.161223109706992,"sim--1685082739.msf",1432491,30,40
"20","SMC4K2PBF",30,3,"KuhnerFelsenstein",0.000541657785032994,"sim--1685082739.msf",1432491,30,40
"21","SMC4K2PBF",30,4,"ConsensusLogLL",-4990.14380553274,"sim--1685082739.msf",1677397,30,40
"22","SMC4K2PBF",30,4,"BestSampledLogLL",-4989.21796050693,"sim--1685082739.msf",1677397,30,40
"23","SMC4K2PBF",30,4,"PartitionMetric",16,"sim--1685082739.msf",1677397,30,40
"24","SMC4K2PBF",30,4,"RobinsonFouldsMetric",0.136825318799827,"sim--1685082739.msf",1677397,30,40
"25","SMC4K2PBF",30,4,"KuhnerFelsenstein",0.000568901289698205,"sim--1685082739.msf",1677397,30,40
"26","SMC4K2PBF",30,5,"ConsensusLogLL",-5018.67633161848,"sim--1685082739.msf",1425988,30,40
"27","SMC4K2PBF",30,5,"BestSampledLogLL",-5020.45031377511,"sim--1685082739.msf",1425988,30,40
"28","SMC4K2PBF",30,5,"PartitionMetric",22,"sim--1685082739.msf",1425988,30,40
"29","SMC4K2PBF",30,5,"RobinsonFouldsMetric",0.208930240088251,"sim--1685082739.msf",1425988,30,40
"30","SMC4K2PBF",30,5,"KuhnerFelsenstein",0.00110851152423468,"sim--1685082739.msf",1425988,30,40
"31","SMC4K2PBF",30,6,"ConsensusLogLL",-5015.64118610656,"sim--1685082739.msf",673759,30,40
"32","SMC4K2PBF",30,6,"BestSampledLogLL",-5015.66837608133,"sim--1685082739.msf",673759,30,40
"33","SMC4K2PBF",30,6,"PartitionMetric",18,"sim--1685082739.msf",673759,30,40
"34","SMC4K2PBF",30,6,"RobinsonFouldsMetric",0.226209437543393,"sim--1685082739.msf",673759,30,40
"35","SMC4K2PBF",30,6,"KuhnerFelsenstein",0.00132051490314264,"sim--1685082739.msf",673759,30,40
"36","SMC4K2PBF",30,7,"ConsensusLogLL",-5036.94264353697,"sim--1685082739.msf",582122,30,40
"37","SMC4K2PBF",30,7,"BestSampledLogLL",-5037.32763919211,"sim--1685082739.msf",582122,30,40
"38","SMC4K2PBF",30,7,"PartitionMetric",28,"sim--1685082739.msf",582122,30,40
"39","SMC4K2PBF",30,7,"RobinsonFouldsMetric",0.20620328395689,"sim--1685082739.msf",582122,30,40
"40","SMC4K2PBF",30,7,"KuhnerFelsenstein",0.00122628962291524,"sim--1685082739.msf",582122,30,40
"41","SMC4K2PBF",30,8,"ConsensusLogLL",-4995.3314569286,"sim--1685082739.msf",560397,30,40
"42","SMC4K2PBF",30,8,"BestSampledLogLL",-4995.2347158755,"sim--1685082739.msf",560397,30,40
"43","SMC4K2PBF",30,8,"PartitionMetric",20,"sim--1685082739.msf",560397,30,40
"44","SMC4K2PBF",30,8,"RobinsonFouldsMetric",0.167031501949035,"sim--1685082739.msf",560397,30,40
"45","SMC4K2PBF",30,8,"KuhnerFelsenstein",0.000668377640066308,"sim--1685082739.msf",560397,30,40
"46","SMC4K2PBF",30,9,"ConsensusLogLL",-5017.02811353452,"sim--1685082739.msf",351228,30,40
"47","SMC4K2PBF",30,9,"BestSampledLogLL",-5016.70996581033,"sim--1685082739.msf",351228,30,40
