#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2PBF,500.0,0,ConsensusLogLL,-2417.3763677203806,sim--2064011407.msf,1832353
PGS4K2PBF,500.0,0,BestSampledLogLL,-Infinity,sim--2064011407.msf,1832353
PGS4K2PBF,500.0,0,PartitionMetric,2.0,sim--2064011407.msf,1832353
PGS4K2PBF,500.0,0,RobinsonFouldsMetric,0.14405979260859791,sim--2064011407.msf,1832353
PGS4K2PBF,500.0,0,KuhnerFelsenstein,0.0025117713459010807,sim--2064011407.msf,1832353
PGS4K2PBF,500.0,1,ConsensusLogLL,-2422.071796994175,sim--2064011407.msf,1815135
PGS4K2PBF,500.0,1,BestSampledLogLL,-Infinity,sim--2064011407.msf,1815135
PGS4K2PBF,500.0,1,PartitionMetric,4.0,sim--2064011407.msf,1815135
PGS4K2PBF,500.0,1,RobinsonFouldsMetric,0.16054571781427268,sim--2064011407.msf,1815135
PGS4K2PBF,500.0,1,KuhnerFelsenstein,0.0025305793137949434,sim--2064011407.msf,1815135
PGS4K2PBF,500.0,2,ConsensusLogLL,-2407.013744273906,sim--2064011407.msf,1808619
PGS4K2PBF,500.0,2,BestSampledLogLL,-Infinity,sim--2064011407.msf,1808619
PGS4K2PBF,500.0,2,PartitionMetric,4.0,sim--2064011407.msf,1808619
PGS4K2PBF,500.0,2,RobinsonFouldsMetric,0.1405627641497827,sim--2064011407.msf,1808619
PGS4K2PBF,500.0,2,KuhnerFelsenstein,0.0025311243805291876,sim--2064011407.msf,1808619
PGS4K2PBF,500.0,3,ConsensusLogLL,-2418.796562299991,sim--2064011407.msf,1829716
PGS4K2PBF,500.0,3,BestSampledLogLL,-Infinity,sim--2064011407.msf,1829716
PGS4K2PBF,500.0,3,PartitionMetric,4.0,sim--2064011407.msf,1829716
PGS4K2PBF,500.0,3,RobinsonFouldsMetric,0.15608507027794558,sim--2064011407.msf,1829716
PGS4K2PBF,500.0,3,KuhnerFelsenstein,0.0022806612187297715,sim--2064011407.msf,1829716
PGS4K2PBF,500.0,4,ConsensusLogLL,-2404.613040493358,sim--2064011407.msf,1817088
PGS4K2PBF,500.0,4,BestSampledLogLL,-Infinity,sim--2064011407.msf,1817088
PGS4K2PBF,500.0,4,PartitionMetric,2.0,sim--2064011407.msf,1817088
PGS4K2PBF,500.0,4,RobinsonFouldsMetric,0.12833830236870308,sim--2064011407.msf,1817088
PGS4K2PBF,500.0,4,KuhnerFelsenstein,0.002215220485105341,sim--2064011407.msf,1817088
PGS4K2PBF,500.0,5,ConsensusLogLL,-2423.0011418179492,sim--2064011407.msf,1810869
PGS4K2PBF,500.0,5,BestSampledLogLL,-Infinity,sim--2064011407.msf,1810869
PGS4K2PBF,500.0,5,PartitionMetric,4.0,sim--2064011407.msf,1810869
PGS4K2PBF,500.0,5,RobinsonFouldsMetric,0.17042670176163416,sim--2064011407.msf,1810869
PGS4K2PBF,500.0,5,KuhnerFelsenstein,0.0031894745553356025,sim--2064011407.msf,1810869
PGS4K2PBF,500.0,6,ConsensusLogLL,-2407.5820395243245,sim--2064011407.msf,1810064
PGS4K2PBF,500.0,6,BestSampledLogLL,-Infinity,sim--2064011407.msf,1810064
PGS4K2PBF,500.0,6,PartitionMetric,2.0,sim--2064011407.msf,1810064
PGS4K2PBF,500.0,6,RobinsonFouldsMetric,0.14018606777702822,sim--2064011407.msf,1810064
PGS4K2PBF,500.0,6,KuhnerFelsenstein,0.0026628589100181096,sim--2064011407.msf,1810064
PGS4K2PBF,500.0,7,ConsensusLogLL,-2419.403471626443,sim--2064011407.msf,1809301
PGS4K2PBF,500.0,7,BestSampledLogLL,-Infinity,sim--2064011407.msf,1809301
PGS4K2PBF,500.0,7,PartitionMetric,2.0,sim--2064011407.msf,1809301
PGS4K2PBF,500.0,7,RobinsonFouldsMetric,0.15086309476220733,sim--2064011407.msf,1809301
PGS4K2PBF,500.0,7,KuhnerFelsenstein,0.002225813098877899,sim--2064011407.msf,1809301
PGS4K2PBF,500.0,8,ConsensusLogLL,-2403.6762065785165,sim--2064011407.msf,1809122
PGS4K2PBF,500.0,8,BestSampledLogLL,-Infinity,sim--2064011407.msf,1809122
PGS4K2PBF,500.0,8,PartitionMetric,2.0,sim--2064011407.msf,1809122
PGS4K2PBF,500.0,8,RobinsonFouldsMetric,0.12999785065993025,sim--2064011407.msf,1809122
PGS4K2PBF,500.0,8,KuhnerFelsenstein,0.0020806612973165647,sim--2064011407.msf,1809122
PGS4K2PBF,500.0,9,ConsensusLogLL,-2422.840863681932,sim--2064011407.msf,1809499
PGS4K2PBF,500.0,9,BestSampledLogLL,-Infinity,sim--2064011407.msf,1809499
PGS4K2PBF,500.0,9,PartitionMetric,4.0,sim--2064011407.msf,1809499
PGS4K2PBF,500.0,9,RobinsonFouldsMetric,0.15089579891307187,sim--2064011407.msf,1809499
PGS4K2PBF,500.0,9,KuhnerFelsenstein,0.0024395783522344265,sim--2064011407.msf,1809499

