#Method,IterScale,Repeat,Metric,Value,TreeName,Time
IPGS4K2P,4000.0,0,ConsensusLogLL,-3421.9525694507192,sim--1286386272.msf,1821636
IPGS4K2P,4000.0,0,BestSampledLogLL,-Infinity,sim--1286386272.msf,1821636
IPGS4K2P,4000.0,0,PartitionMetric,24.0,sim--1286386272.msf,1821636
IPGS4K2P,4000.0,0,RobinsonFouldsMetric,0.6079832597655968,sim--1286386272.msf,1821636
IPGS4K2P,4000.0,0,KuhnerFelsenstein,0.023027491188195442,sim--1286386272.msf,1821636
IPGS4K2P,4000.0,1,ConsensusLogLL,-3187.0371132379105,sim--1286386272.msf,1819244
IPGS4K2P,4000.0,1,BestSampledLogLL,-Infinity,sim--1286386272.msf,1819244
IPGS4K2P,4000.0,1,PartitionMetric,20.0,sim--1286386272.msf,1819244
IPGS4K2P,4000.0,1,RobinsonFouldsMetric,0.5538473795069822,sim--1286386272.msf,1819244
IPGS4K2P,4000.0,1,KuhnerFelsenstein,0.02160688864878913,sim--1286386272.msf,1819244
IPGS4K2P,4000.0,2,ConsensusLogLL,-3032.40257152079,sim--1286386272.msf,1817960
IPGS4K2P,4000.0,2,BestSampledLogLL,-Infinity,sim--1286386272.msf,1817960
IPGS4K2P,4000.0,2,PartitionMetric,24.0,sim--1286386272.msf,1817960
IPGS4K2P,4000.0,2,RobinsonFouldsMetric,0.49258453584787837,sim--1286386272.msf,1817960
IPGS4K2P,4000.0,2,KuhnerFelsenstein,0.017143725923452677,sim--1286386272.msf,1817960
IPGS4K2P,4000.0,3,ConsensusLogLL,-2864.1344478043757,sim--1286386272.msf,1821662
IPGS4K2P,4000.0,3,BestSampledLogLL,-Infinity,sim--1286386272.msf,1821662
IPGS4K2P,4000.0,3,PartitionMetric,24.0,sim--1286386272.msf,1821662
IPGS4K2P,4000.0,3,RobinsonFouldsMetric,0.7925811644611505,sim--1286386272.msf,1821662
IPGS4K2P,4000.0,3,KuhnerFelsenstein,0.08459622863103756,sim--1286386272.msf,1821662
