#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2P,4000.0,0,ConsensusLogLL,-3281.5483225394228,sim--571596271.msf,482228
PGS4K2P,4000.0,0,BestSampledLogLL,-Infinity,sim--571596271.msf,482228
PGS4K2P,4000.0,0,PartitionMetric,22.0,sim--571596271.msf,482228
PGS4K2P,4000.0,0,RobinsonFouldsMetric,0.5422478706025623,sim--571596271.msf,482228
PGS4K2P,4000.0,0,KuhnerFelsenstein,0.027268945911482687,sim--571596271.msf,482228
PGS4K2P,4000.0,1,ConsensusLogLL,-3349.918519349928,sim--571596271.msf,430799
PGS4K2P,4000.0,1,BestSampledLogLL,-Infinity,sim--571596271.msf,430799
PGS4K2P,4000.0,1,PartitionMetric,24.0,sim--571596271.msf,430799
PGS4K2P,4000.0,1,RobinsonFouldsMetric,0.5984365022118489,sim--571596271.msf,430799
PGS4K2P,4000.0,1,KuhnerFelsenstein,0.017544783817529268,sim--571596271.msf,430799
PGS4K2P,4000.0,2,ConsensusLogLL,-3807.11421652825,sim--571596271.msf,465365
PGS4K2P,4000.0,2,BestSampledLogLL,-Infinity,sim--571596271.msf,465365
PGS4K2P,4000.0,2,PartitionMetric,24.0,sim--571596271.msf,465365
PGS4K2P,4000.0,2,RobinsonFouldsMetric,0.5585328820757443,sim--571596271.msf,465365
PGS4K2P,4000.0,2,KuhnerFelsenstein,0.01935467438257907,sim--571596271.msf,465365
PGS4K2P,4000.0,3,ConsensusLogLL,-3258.824208893171,sim--571596271.msf,487010
PGS4K2P,4000.0,3,BestSampledLogLL,-Infinity,sim--571596271.msf,487010
PGS4K2P,4000.0,3,PartitionMetric,22.0,sim--571596271.msf,487010
PGS4K2P,4000.0,3,RobinsonFouldsMetric,0.5923818522349416,sim--571596271.msf,487010
PGS4K2P,4000.0,3,KuhnerFelsenstein,0.0188255389287618,sim--571596271.msf,487010
PGS4K2P,4000.0,4,ConsensusLogLL,-3617.2477899821997,sim--571596271.msf,476651
PGS4K2P,4000.0,4,BestSampledLogLL,-Infinity,sim--571596271.msf,476651
PGS4K2P,4000.0,4,PartitionMetric,24.0,sim--571596271.msf,476651
PGS4K2P,4000.0,4,RobinsonFouldsMetric,0.5724820323470768,sim--571596271.msf,476651
PGS4K2P,4000.0,4,KuhnerFelsenstein,0.024005235092296212,sim--571596271.msf,476651
PGS4K2P,4000.0,5,ConsensusLogLL,-3609.5096198335195,sim--571596271.msf,489065
PGS4K2P,4000.0,5,BestSampledLogLL,-Infinity,sim--571596271.msf,489065
PGS4K2P,4000.0,5,PartitionMetric,22.0,sim--571596271.msf,489065
PGS4K2P,4000.0,5,RobinsonFouldsMetric,1.0232657110327792,sim--571596271.msf,489065
PGS4K2P,4000.0,5,KuhnerFelsenstein,0.13037271481908008,sim--571596271.msf,489065
PGS4K2P,4000.0,6,ConsensusLogLL,-3430.1379942924277,sim--571596271.msf,449668
PGS4K2P,4000.0,6,BestSampledLogLL,-Infinity,sim--571596271.msf,449668
PGS4K2P,4000.0,6,PartitionMetric,22.0,sim--571596271.msf,449668
PGS4K2P,4000.0,6,RobinsonFouldsMetric,0.4969949723762864,sim--571596271.msf,449668
PGS4K2P,4000.0,6,KuhnerFelsenstein,0.013858003017666787,sim--571596271.msf,449668
PGS4K2P,4000.0,7,ConsensusLogLL,-3434.059807164036,sim--571596271.msf,486733
PGS4K2P,4000.0,7,BestSampledLogLL,-Infinity,sim--571596271.msf,486733
PGS4K2P,4000.0,7,PartitionMetric,22.0,sim--571596271.msf,486733
PGS4K2P,4000.0,7,RobinsonFouldsMetric,0.5864407339349227,sim--571596271.msf,486733
PGS4K2P,4000.0,7,KuhnerFelsenstein,0.017542587954190385,sim--571596271.msf,486733
PGS4K2P,4000.0,8,ConsensusLogLL,-3242.571406198914,sim--571596271.msf,450128
PGS4K2P,4000.0,8,BestSampledLogLL,-Infinity,sim--571596271.msf,450128
PGS4K2P,4000.0,8,PartitionMetric,24.0,sim--571596271.msf,450128
PGS4K2P,4000.0,8,RobinsonFouldsMetric,0.6950443236886849,sim--571596271.msf,450128
PGS4K2P,4000.0,8,KuhnerFelsenstein,0.02571485840368572,sim--571596271.msf,450128
PGS4K2P,4000.0,9,ConsensusLogLL,-3048.922806263422,sim--571596271.msf,453093
PGS4K2P,4000.0,9,BestSampledLogLL,-Infinity,sim--571596271.msf,453093
PGS4K2P,4000.0,9,PartitionMetric,22.0,sim--571596271.msf,453093
PGS4K2P,4000.0,9,RobinsonFouldsMetric,0.562211190147348,sim--571596271.msf,453093
PGS4K2P,4000.0,9,KuhnerFelsenstein,0.016180648124839464,sim--571596271.msf,453093
