#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2PBF,4000.0,0,ConsensusLogLL,-2693.711615515149,sim--706515689.msf,2091041
PGS4K2PBF,4000.0,0,BestSampledLogLL,-Infinity,sim--706515689.msf,2091041
PGS4K2PBF,4000.0,0,PartitionMetric,6.0,sim--706515689.msf,2091041
PGS4K2PBF,4000.0,0,RobinsonFouldsMetric,0.14701981682652457,sim--706515689.msf,2091041
PGS4K2PBF,4000.0,0,KuhnerFelsenstein,0.0011047254064125217,sim--706515689.msf,2091041
PGS4K2PBF,4000.0,1,ConsensusLogLL,-2693.133706041451,sim--706515689.msf,2089750
PGS4K2PBF,4000.0,1,BestSampledLogLL,-Infinity,sim--706515689.msf,2089750
PGS4K2PBF,4000.0,1,PartitionMetric,2.0,sim--706515689.msf,2089750
PGS4K2PBF,4000.0,1,RobinsonFouldsMetric,0.1804675997843595,sim--706515689.msf,2089750
PGS4K2PBF,4000.0,1,KuhnerFelsenstein,0.0017939280373646517,sim--706515689.msf,2089750
PGS4K2PBF,4000.0,2,ConsensusLogLL,-2672.202329253454,sim--706515689.msf,2089480
PGS4K2PBF,4000.0,2,BestSampledLogLL,-Infinity,sim--706515689.msf,2089480
PGS4K2PBF,4000.0,2,PartitionMetric,4.0,sim--706515689.msf,2089480
PGS4K2PBF,4000.0,2,RobinsonFouldsMetric,0.09117772815468383,sim--706515689.msf,2089480
PGS4K2PBF,4000.0,2,KuhnerFelsenstein,4.852146062842483E-4,sim--706515689.msf,2089480
PGS4K2PBF,4000.0,3,ConsensusLogLL,-2671.0984151365556,sim--706515689.msf,2090758
PGS4K2PBF,4000.0,3,BestSampledLogLL,-Infinity,sim--706515689.msf,2090758
PGS4K2PBF,4000.0,3,PartitionMetric,4.0,sim--706515689.msf,2090758
PGS4K2PBF,4000.0,3,RobinsonFouldsMetric,0.08304109245268552,sim--706515689.msf,2090758
PGS4K2PBF,4000.0,3,KuhnerFelsenstein,3.5317074912423013E-4,sim--706515689.msf,2090758
PGS4K2PBF,4000.0,4,ConsensusLogLL,-2680.4091062941006,sim--706515689.msf,2103572
PGS4K2PBF,4000.0,4,BestSampledLogLL,-Infinity,sim--706515689.msf,2103572
PGS4K2PBF,4000.0,4,PartitionMetric,4.0,sim--706515689.msf,2103572
PGS4K2PBF,4000.0,4,RobinsonFouldsMetric,0.14370010853616583,sim--706515689.msf,2103572
PGS4K2PBF,4000.0,4,KuhnerFelsenstein,0.0012233020085428065,sim--706515689.msf,2103572
PGS4K2PBF,4000.0,5,ConsensusLogLL,-2766.649405763139,sim--706515689.msf,2109663
PGS4K2PBF,4000.0,5,BestSampledLogLL,-Infinity,sim--706515689.msf,2109663
PGS4K2PBF,4000.0,5,PartitionMetric,6.0,sim--706515689.msf,2109663
PGS4K2PBF,4000.0,5,RobinsonFouldsMetric,0.22545025733788,sim--706515689.msf,2109663
PGS4K2PBF,4000.0,5,KuhnerFelsenstein,0.002947481884027029,sim--706515689.msf,2109663
PGS4K2PBF,4000.0,6,ConsensusLogLL,-2690.4880828052883,sim--706515689.msf,2102108
PGS4K2PBF,4000.0,6,BestSampledLogLL,-Infinity,sim--706515689.msf,2102108
PGS4K2PBF,4000.0,6,PartitionMetric,4.0,sim--706515689.msf,2102108
PGS4K2PBF,4000.0,6,RobinsonFouldsMetric,0.18124133494078967,sim--706515689.msf,2102108
PGS4K2PBF,4000.0,6,KuhnerFelsenstein,0.002515429186563146,sim--706515689.msf,2102108
PGS4K2PBF,4000.0,7,ConsensusLogLL,-2688.157863361792,sim--706515689.msf,2119276
PGS4K2PBF,4000.0,7,BestSampledLogLL,-Infinity,sim--706515689.msf,2119276
PGS4K2PBF,4000.0,7,PartitionMetric,2.0,sim--706515689.msf,2119276
PGS4K2PBF,4000.0,7,RobinsonFouldsMetric,0.16402163813602338,sim--706515689.msf,2119276
PGS4K2PBF,4000.0,7,KuhnerFelsenstein,0.0013596936162697394,sim--706515689.msf,2119276
PGS4K2PBF,4000.0,8,ConsensusLogLL,-2697.1267687853724,sim--706515689.msf,2118999
PGS4K2PBF,4000.0,8,BestSampledLogLL,-Infinity,sim--706515689.msf,2118999
PGS4K2PBF,4000.0,8,PartitionMetric,2.0,sim--706515689.msf,2118999
PGS4K2PBF,4000.0,8,RobinsonFouldsMetric,0.1799632983702992,sim--706515689.msf,2118999
PGS4K2PBF,4000.0,8,KuhnerFelsenstein,0.0021000648334786407,sim--706515689.msf,2118999
PGS4K2PBF,4000.0,9,ConsensusLogLL,-2690.2355826734156,sim--706515689.msf,2115880
PGS4K2PBF,4000.0,9,BestSampledLogLL,-Infinity,sim--706515689.msf,2115880
PGS4K2PBF,4000.0,9,PartitionMetric,4.0,sim--706515689.msf,2115880
PGS4K2PBF,4000.0,9,RobinsonFouldsMetric,0.14718601932621747,sim--706515689.msf,2115880
PGS4K2PBF,4000.0,9,KuhnerFelsenstein,0.0019906564649792274,sim--706515689.msf,2115880
