#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2PBF,2000.0,0,ConsensusLogLL,-2431.3326457190406,sim--2064011407.msf,1816725
PGS4K2PBF,2000.0,0,BestSampledLogLL,-Infinity,sim--2064011407.msf,1816725
PGS4K2PBF,2000.0,0,PartitionMetric,2.0,sim--2064011407.msf,1816725
PGS4K2PBF,2000.0,0,RobinsonFouldsMetric,0.1542910172022674,sim--2064011407.msf,1816725
PGS4K2PBF,2000.0,0,KuhnerFelsenstein,0.002032379602204436,sim--2064011407.msf,1816725
PGS4K2PBF,2000.0,1,ConsensusLogLL,-2479.3450597196324,sim--2064011407.msf,1807230
PGS4K2PBF,2000.0,1,BestSampledLogLL,-Infinity,sim--2064011407.msf,1807230
PGS4K2PBF,2000.0,1,PartitionMetric,8.0,sim--2064011407.msf,1807230
PGS4K2PBF,2000.0,1,RobinsonFouldsMetric,0.20631252417609627,sim--2064011407.msf,1807230
PGS4K2PBF,2000.0,1,KuhnerFelsenstein,0.0028993691752727917,sim--2064011407.msf,1807230
PGS4K2PBF,2000.0,2,ConsensusLogLL,-2477.030581439275,sim--2064011407.msf,1805021
PGS4K2PBF,2000.0,2,BestSampledLogLL,-Infinity,sim--2064011407.msf,1805021
PGS4K2PBF,2000.0,2,PartitionMetric,4.0,sim--2064011407.msf,1805021
PGS4K2PBF,2000.0,2,RobinsonFouldsMetric,0.17420430867317707,sim--2064011407.msf,1805021
PGS4K2PBF,2000.0,2,KuhnerFelsenstein,0.003191791945816404,sim--2064011407.msf,1805021
PGS4K2PBF,2000.0,3,ConsensusLogLL,-2413.688159018494,sim--2064011407.msf,1811989
PGS4K2PBF,2000.0,3,BestSampledLogLL,-Infinity,sim--2064011407.msf,1811989
PGS4K2PBF,2000.0,3,PartitionMetric,2.0,sim--2064011407.msf,1811989
PGS4K2PBF,2000.0,3,RobinsonFouldsMetric,0.1473225249998305,sim--2064011407.msf,1811989
PGS4K2PBF,2000.0,3,KuhnerFelsenstein,0.002478491080048915,sim--2064011407.msf,1811989
PGS4K2PBF,2000.0,4,ConsensusLogLL,-2416.342185163603,sim--2064011407.msf,1823215
PGS4K2PBF,2000.0,4,BestSampledLogLL,-Infinity,sim--2064011407.msf,1823215
PGS4K2PBF,2000.0,4,PartitionMetric,4.0,sim--2064011407.msf,1823215
PGS4K2PBF,2000.0,4,RobinsonFouldsMetric,0.14385670176163418,sim--2064011407.msf,1823215
PGS4K2PBF,2000.0,4,KuhnerFelsenstein,0.0024351564787875165,sim--2064011407.msf,1823215
PGS4K2PBF,2000.0,5,ConsensusLogLL,-2428.4797442645736,sim--2064011407.msf,1819204
PGS4K2PBF,2000.0,5,BestSampledLogLL,-Infinity,sim--2064011407.msf,1819204
PGS4K2PBF,2000.0,5,PartitionMetric,4.0,sim--2064011407.msf,1819204
PGS4K2PBF,2000.0,5,RobinsonFouldsMetric,0.19382579891307192,sim--2064011407.msf,1819204
PGS4K2PBF,2000.0,5,KuhnerFelsenstein,0.005301271541445475,sim--2064011407.msf,1819204
PGS4K2PBF,2000.0,6,ConsensusLogLL,-2429.597004525661,sim--2064011407.msf,1823542
PGS4K2PBF,2000.0,6,BestSampledLogLL,-Infinity,sim--2064011407.msf,1823542
PGS4K2PBF,2000.0,6,PartitionMetric,0.0,sim--2064011407.msf,1823542
PGS4K2PBF,2000.0,6,RobinsonFouldsMetric,0.18320069545716014,sim--2064011407.msf,1823542
PGS4K2PBF,2000.0,6,KuhnerFelsenstein,0.0029546455410837023,sim--2064011407.msf,1823542
PGS4K2PBF,2000.0,7,ConsensusLogLL,-2410.986763520119,sim--2064011407.msf,1826538
PGS4K2PBF,2000.0,7,BestSampledLogLL,-Infinity,sim--2064011407.msf,1826538
PGS4K2PBF,2000.0,7,PartitionMetric,0.0,sim--2064011407.msf,1826538
PGS4K2PBF,2000.0,7,RobinsonFouldsMetric,0.14475583387282862,sim--2064011407.msf,1826538
PGS4K2PBF,2000.0,7,KuhnerFelsenstein,0.0023593478172983387,sim--2064011407.msf,1826538
PGS4K2PBF,2000.0,8,ConsensusLogLL,-2429.9631010650246,sim--2064011407.msf,1809101
PGS4K2PBF,2000.0,8,BestSampledLogLL,-Infinity,sim--2064011407.msf,1809101
PGS4K2PBF,2000.0,8,PartitionMetric,4.0,sim--2064011407.msf,1809101
PGS4K2PBF,2000.0,8,RobinsonFouldsMetric,0.17485017128096875,sim--2064011407.msf,1809101
PGS4K2PBF,2000.0,8,KuhnerFelsenstein,0.0033636900664107522,sim--2064011407.msf,1809101
PGS4K2PBF,2000.0,9,ConsensusLogLL,-2523.686627900952,sim--2064011407.msf,1817634
PGS4K2PBF,2000.0,9,BestSampledLogLL,-Infinity,sim--2064011407.msf,1817634
PGS4K2PBF,2000.0,9,PartitionMetric,4.0,sim--2064011407.msf,1817634
PGS4K2PBF,2000.0,9,RobinsonFouldsMetric,0.18547407780457942,sim--2064011407.msf,1817634
PGS4K2PBF,2000.0,9,KuhnerFelsenstein,0.002811782289546299,sim--2064011407.msf,1817634

