#Method,IterScale,Repeat,Metric,Value,TreeName,Time
IPGS4K2P,4000.0,0,ConsensusLogLL,-5254.760846682484,sim-1983759278.msf,741744
IPGS4K2P,4000.0,0,BestSampledLogLL,-Infinity,sim-1983759278.msf,741744
IPGS4K2P,4000.0,0,PartitionMetric,22.0,sim-1983759278.msf,741744
IPGS4K2P,4000.0,0,RobinsonFouldsMetric,0.7249060707640563,sim-1983759278.msf,741744
IPGS4K2P,4000.0,0,KuhnerFelsenstein,0.0639152251281441,sim-1983759278.msf,741744
IPGS4K2P,4000.0,1,ConsensusLogLL,-5737.298445662194,sim-1983759278.msf,740048
IPGS4K2P,4000.0,1,BestSampledLogLL,-Infinity,sim-1983759278.msf,740048
IPGS4K2P,4000.0,1,PartitionMetric,24.0,sim-1983759278.msf,740048
IPGS4K2P,4000.0,1,RobinsonFouldsMetric,0.9808380907735846,sim-1983759278.msf,740048
IPGS4K2P,4000.0,1,KuhnerFelsenstein,0.0921584443436905,sim-1983759278.msf,740048
IPGS4K2P,4000.0,2,ConsensusLogLL,-5261.4893589914045,sim-1983759278.msf,740425
IPGS4K2P,4000.0,2,BestSampledLogLL,-Infinity,sim-1983759278.msf,740425
IPGS4K2P,4000.0,2,PartitionMetric,24.0,sim-1983759278.msf,740425
IPGS4K2P,4000.0,2,RobinsonFouldsMetric,0.7217143455410361,sim-1983759278.msf,740425
IPGS4K2P,4000.0,2,KuhnerFelsenstein,0.061415998146775716,sim-1983759278.msf,740425
IPGS4K2P,4000.0,3,ConsensusLogLL,-4637.952503607885,sim-1983759278.msf,737812
IPGS4K2P,4000.0,3,BestSampledLogLL,-Infinity,sim-1983759278.msf,737812
IPGS4K2P,4000.0,3,PartitionMetric,24.0,sim-1983759278.msf,737812
IPGS4K2P,4000.0,3,RobinsonFouldsMetric,0.7501998358287538,sim-1983759278.msf,737812
IPGS4K2P,4000.0,3,KuhnerFelsenstein,0.062036147709299286,sim-1983759278.msf,737812
IPGS4K2P,4000.0,4,ConsensusLogLL,-6081.75769731267,sim-1983759278.msf,737729
IPGS4K2P,4000.0,4,BestSampledLogLL,-Infinity,sim-1983759278.msf,737729
IPGS4K2P,4000.0,4,PartitionMetric,22.0,sim-1983759278.msf,737729
IPGS4K2P,4000.0,4,RobinsonFouldsMetric,1.119194682026703,sim-1983759278.msf,737729
IPGS4K2P,4000.0,4,KuhnerFelsenstein,0.15139707936413432,sim-1983759278.msf,737729
IPGS4K2P,4000.0,5,ConsensusLogLL,-4671.888894034467,sim-1983759278.msf,739111
IPGS4K2P,4000.0,5,BestSampledLogLL,-Infinity,sim-1983759278.msf,739111
IPGS4K2P,4000.0,5,PartitionMetric,22.0,sim-1983759278.msf,739111
IPGS4K2P,4000.0,5,RobinsonFouldsMetric,0.8684513050444149,sim-1983759278.msf,739111
IPGS4K2P,4000.0,5,KuhnerFelsenstein,0.07660042642088163,sim-1983759278.msf,739111
IPGS4K2P,4000.0,6,ConsensusLogLL,-6001.495808556587,sim-1983759278.msf,739813
IPGS4K2P,4000.0,6,BestSampledLogLL,-Infinity,sim-1983759278.msf,739813
IPGS4K2P,4000.0,6,PartitionMetric,24.0,sim-1983759278.msf,739813
IPGS4K2P,4000.0,6,RobinsonFouldsMetric,0.6004426467654782,sim-1983759278.msf,739813
IPGS4K2P,4000.0,6,KuhnerFelsenstein,0.05740881761065565,sim-1983759278.msf,739813
IPGS4K2P,4000.0,7,ConsensusLogLL,-4905.70137231319,sim-1983759278.msf,737787
IPGS4K2P,4000.0,7,BestSampledLogLL,-Infinity,sim-1983759278.msf,737787
IPGS4K2P,4000.0,7,PartitionMetric,22.0,sim-1983759278.msf,737787
IPGS4K2P,4000.0,7,RobinsonFouldsMetric,0.9707445737212487,sim-1983759278.msf,737787
IPGS4K2P,4000.0,7,KuhnerFelsenstein,0.08008507932160809,sim-1983759278.msf,737787
IPGS4K2P,4000.0,8,ConsensusLogLL,-5298.6751087859,sim-1983759278.msf,738024
IPGS4K2P,4000.0,8,BestSampledLogLL,-Infinity,sim-1983759278.msf,738024
IPGS4K2P,4000.0,8,PartitionMetric,22.0,sim-1983759278.msf,738024
IPGS4K2P,4000.0,8,RobinsonFouldsMetric,0.6889445737212485,sim-1983759278.msf,738024
IPGS4K2P,4000.0,8,KuhnerFelsenstein,0.059206606826822,sim-1983759278.msf,738024
IPGS4K2P,4000.0,9,ConsensusLogLL,-5896.1754997930175,sim-1983759278.msf,739667
IPGS4K2P,4000.0,9,BestSampledLogLL,-Infinity,sim-1983759278.msf,739667
IPGS4K2P,4000.0,9,PartitionMetric,24.0,sim-1983759278.msf,739667
IPGS4K2P,4000.0,9,RobinsonFouldsMetric,1.0133648413876666,sim-1983759278.msf,739667
IPGS4K2P,4000.0,9,KuhnerFelsenstein,0.11081291675103216,sim-1983759278.msf,739667
