#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGAS4K2PBF,4000.0,0,ConsensusLogLL,-2030.9855990800618,sim-1835442223.msf,2058550
PGAS4K2PBF,4000.0,0,BestSampledLogLL,-Infinity,sim-1835442223.msf,2058550
PGAS4K2PBF,4000.0,0,PartitionMetric,2.0,sim-1835442223.msf,2058550
PGAS4K2PBF,4000.0,0,RobinsonFouldsMetric,0.0990308068679648,sim-1835442223.msf,2058550
PGAS4K2PBF,4000.0,0,KuhnerFelsenstein,0.0013259374923642164,sim-1835442223.msf,2058550
PGAS4K2PBF,4000.0,1,ConsensusLogLL,-2007.9043897511895,sim-1835442223.msf,1973470
PGAS4K2PBF,4000.0,1,BestSampledLogLL,-Infinity,sim-1835442223.msf,1973470
PGAS4K2PBF,4000.0,1,PartitionMetric,2.0,sim-1835442223.msf,1973470
PGAS4K2PBF,4000.0,1,RobinsonFouldsMetric,0.11172087508323918,sim-1835442223.msf,1973470
PGAS4K2PBF,4000.0,1,KuhnerFelsenstein,0.001360654833131221,sim-1835442223.msf,1973470
PGAS4K2PBF,4000.0,2,ConsensusLogLL,-2015.8939047501794,sim-1835442223.msf,2008204
PGAS4K2PBF,4000.0,2,BestSampledLogLL,-Infinity,sim-1835442223.msf,2008204
PGAS4K2PBF,4000.0,2,PartitionMetric,0.0,sim-1835442223.msf,2008204
PGAS4K2PBF,4000.0,2,RobinsonFouldsMetric,0.09207102498563072,sim-1835442223.msf,2008204
PGAS4K2PBF,4000.0,2,KuhnerFelsenstein,0.0012610809234071298,sim-1835442223.msf,2008204
PGAS4K2PBF,4000.0,3,ConsensusLogLL,-2020.0797606154053,sim-1835442223.msf,2000400
PGAS4K2PBF,4000.0,3,BestSampledLogLL,-Infinity,sim-1835442223.msf,2000400
PGAS4K2PBF,4000.0,3,PartitionMetric,6.0,sim-1835442223.msf,2000400
PGAS4K2PBF,4000.0,3,RobinsonFouldsMetric,0.112861790316265,sim-1835442223.msf,2000400
PGAS4K2PBF,4000.0,3,KuhnerFelsenstein,0.0011906178711465383,sim-1835442223.msf,2000400
PGAS4K2PBF,4000.0,4,ConsensusLogLL,-2007.4918881141311,sim-1835442223.msf,2026410
PGAS4K2PBF,4000.0,4,BestSampledLogLL,-Infinity,sim-1835442223.msf,2026410
PGAS4K2PBF,4000.0,4,PartitionMetric,2.0,sim-1835442223.msf,2026410
PGAS4K2PBF,4000.0,4,RobinsonFouldsMetric,0.08822545089169019,sim-1835442223.msf,2026410
PGAS4K2PBF,4000.0,4,KuhnerFelsenstein,0.0010778725004572112,sim-1835442223.msf,2026410
PGAS4K2PBF,4000.0,5,ConsensusLogLL,-2022.8302827429718,sim-1835442223.msf,2014046
PGAS4K2PBF,4000.0,5,BestSampledLogLL,-Infinity,sim-1835442223.msf,2014046
PGAS4K2PBF,4000.0,5,PartitionMetric,2.0,sim-1835442223.msf,2014046
PGAS4K2PBF,4000.0,5,RobinsonFouldsMetric,0.1145105065546648,sim-1835442223.msf,2014046
PGAS4K2PBF,4000.0,5,KuhnerFelsenstein,0.0011269041974914231,sim-1835442223.msf,2014046
PGAS4K2PBF,4000.0,6,ConsensusLogLL,-2009.760162337561,sim-1835442223.msf,2004286
PGAS4K2PBF,4000.0,6,BestSampledLogLL,-Infinity,sim-1835442223.msf,2004286
PGAS4K2PBF,4000.0,6,PartitionMetric,4.0,sim-1835442223.msf,2004286
PGAS4K2PBF,4000.0,6,RobinsonFouldsMetric,0.10375293393313112,sim-1835442223.msf,2004286
PGAS4K2PBF,4000.0,6,KuhnerFelsenstein,0.001184249308054934,sim-1835442223.msf,2004286
PGAS4K2PBF,4000.0,7,ConsensusLogLL,-2023.1241882841086,sim-1835442223.msf,2012330
PGAS4K2PBF,4000.0,7,BestSampledLogLL,-Infinity,sim-1835442223.msf,2012330
PGAS4K2PBF,4000.0,7,PartitionMetric,4.0,sim-1835442223.msf,2012330
PGAS4K2PBF,4000.0,7,RobinsonFouldsMetric,0.13436572783360914,sim-1835442223.msf,2012330
PGAS4K2PBF,4000.0,7,KuhnerFelsenstein,0.00124376863164846,sim-1835442223.msf,2012330
PGAS4K2PBF,4000.0,8,ConsensusLogLL,-2018.04624126337,sim-1835442223.msf,2015416
PGAS4K2PBF,4000.0,8,BestSampledLogLL,-Infinity,sim-1835442223.msf,2015416
PGAS4K2PBF,4000.0,8,PartitionMetric,4.0,sim-1835442223.msf,2015416
PGAS4K2PBF,4000.0,8,RobinsonFouldsMetric,0.09772726945545843,sim-1835442223.msf,2015416
PGAS4K2PBF,4000.0,8,KuhnerFelsenstein,0.001017916270488221,sim-1835442223.msf,2015416
PGAS4K2PBF,4000.0,9,ConsensusLogLL,-2004.5580391518088,sim-1835442223.msf,2034186
PGAS4K2PBF,4000.0,9,BestSampledLogLL,-Infinity,sim-1835442223.msf,2034186
PGAS4K2PBF,4000.0,9,PartitionMetric,2.0,sim-1835442223.msf,2034186
PGAS4K2PBF,4000.0,9,RobinsonFouldsMetric,0.09453824862722587,sim-1835442223.msf,2034186
PGAS4K2PBF,4000.0,9,KuhnerFelsenstein,0.0014359873749942944,sim-1835442223.msf,2034186
