#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2PBF,4000.0,0,ConsensusLogLL,-1879.6856249665896,sim-1983759278.msf,2440445
PGS4K2PBF,4000.0,0,BestSampledLogLL,-Infinity,sim-1983759278.msf,2440445
PGS4K2PBF,4000.0,0,PartitionMetric,4.0,sim-1983759278.msf,2440445
PGS4K2PBF,4000.0,0,RobinsonFouldsMetric,0.10031529905298489,sim-1983759278.msf,2440445
PGS4K2PBF,4000.0,0,KuhnerFelsenstein,8.16724925835755E-4,sim-1983759278.msf,2440445
PGS4K2PBF,4000.0,1,ConsensusLogLL,-1880.248801634359,sim-1983759278.msf,2448734
PGS4K2PBF,4000.0,1,BestSampledLogLL,-Infinity,sim-1983759278.msf,2448734
PGS4K2PBF,4000.0,1,PartitionMetric,0.0,sim-1983759278.msf,2448734
PGS4K2PBF,4000.0,1,RobinsonFouldsMetric,0.10255588972580532,sim-1983759278.msf,2448734
PGS4K2PBF,4000.0,1,KuhnerFelsenstein,0.0010459005816842095,sim-1983759278.msf,2448734
PGS4K2PBF,4000.0,2,ConsensusLogLL,-1888.3471128851165,sim-1983759278.msf,2471466
PGS4K2PBF,4000.0,2,BestSampledLogLL,-Infinity,sim-1983759278.msf,2471466
PGS4K2PBF,4000.0,2,PartitionMetric,8.0,sim-1983759278.msf,2471466
PGS4K2PBF,4000.0,2,RobinsonFouldsMetric,0.11455446122228657,sim-1983759278.msf,2471466
PGS4K2PBF,4000.0,2,KuhnerFelsenstein,0.001270871648491042,sim-1983759278.msf,2471466
PGS4K2PBF,4000.0,3,ConsensusLogLL,-1874.6468077519842,sim-1983759278.msf,2465009
PGS4K2PBF,4000.0,3,BestSampledLogLL,-Infinity,sim-1983759278.msf,2465009
PGS4K2PBF,4000.0,3,PartitionMetric,4.0,sim-1983759278.msf,2465009
PGS4K2PBF,4000.0,3,RobinsonFouldsMetric,0.0975555961239295,sim-1983759278.msf,2465009
PGS4K2PBF,4000.0,3,KuhnerFelsenstein,8.247457592972786E-4,sim-1983759278.msf,2465009
PGS4K2PBF,4000.0,4,ConsensusLogLL,-1875.0964621162339,sim-1983759278.msf,3396694
PGS4K2PBF,4000.0,4,BestSampledLogLL,-Infinity,sim-1983759278.msf,3396694
PGS4K2PBF,4000.0,4,PartitionMetric,4.0,sim-1983759278.msf,3396694
PGS4K2PBF,4000.0,4,RobinsonFouldsMetric,0.10363759168286579,sim-1983759278.msf,3396694
PGS4K2PBF,4000.0,4,KuhnerFelsenstein,8.89302655450763E-4,sim-1983759278.msf,3396694
PGS4K2PBF,4000.0,5,ConsensusLogLL,-1893.6490819086,sim-1983759278.msf,2491943
PGS4K2PBF,4000.0,5,BestSampledLogLL,-Infinity,sim-1983759278.msf,2491943
PGS4K2PBF,4000.0,5,PartitionMetric,6.0,sim-1983759278.msf,2491943
PGS4K2PBF,4000.0,5,RobinsonFouldsMetric,0.12535960710175098,sim-1983759278.msf,2491943
PGS4K2PBF,4000.0,5,KuhnerFelsenstein,0.0010462187499258341,sim-1983759278.msf,2491943
PGS4K2PBF,4000.0,6,ConsensusLogLL,-1877.4326012335976,sim-1983759278.msf,2611157
PGS4K2PBF,4000.0,6,BestSampledLogLL,-Infinity,sim-1983759278.msf,2611157
PGS4K2PBF,4000.0,6,PartitionMetric,6.0,sim-1983759278.msf,2611157
PGS4K2PBF,4000.0,6,RobinsonFouldsMetric,0.11313616034518553,sim-1983759278.msf,2611157
PGS4K2PBF,4000.0,6,KuhnerFelsenstein,0.0011027353052170384,sim-1983759278.msf,2611157
PGS4K2PBF,4000.0,7,ConsensusLogLL,-1872.1538908873158,sim-1983759278.msf,2600122
PGS4K2PBF,4000.0,7,BestSampledLogLL,-Infinity,sim-1983759278.msf,2600122
PGS4K2PBF,4000.0,7,PartitionMetric,4.0,sim-1983759278.msf,2600122
PGS4K2PBF,4000.0,7,RobinsonFouldsMetric,0.0768360422668225,sim-1983759278.msf,2600122
PGS4K2PBF,4000.0,7,KuhnerFelsenstein,6.770963461065416E-4,sim-1983759278.msf,2600122
PGS4K2PBF,4000.0,8,ConsensusLogLL,-1888.1891143300097,sim-1983759278.msf,2574468
PGS4K2PBF,4000.0,8,BestSampledLogLL,-Infinity,sim-1983759278.msf,2574468
PGS4K2PBF,4000.0,8,PartitionMetric,8.0,sim-1983759278.msf,2574468
PGS4K2PBF,4000.0,8,RobinsonFouldsMetric,0.10456976173538254,sim-1983759278.msf,2574468
PGS4K2PBF,4000.0,8,KuhnerFelsenstein,7.30292174043893E-4,sim-1983759278.msf,2574468
PGS4K2PBF,4000.0,9,ConsensusLogLL,-1878.2077695929852,sim-1983759278.msf,2789291
PGS4K2PBF,4000.0,9,BestSampledLogLL,-Infinity,sim-1983759278.msf,2789291
PGS4K2PBF,4000.0,9,PartitionMetric,6.0,sim-1983759278.msf,2789291
PGS4K2PBF,4000.0,9,RobinsonFouldsMetric,0.09845169105605242,sim-1983759278.msf,2789291
PGS4K2PBF,4000.0,9,KuhnerFelsenstein,9.406438929032461E-4,sim-1983759278.msf,2789291
