#treeName,Method,logZ
sim-1835442223.msf,SMC4K2PBF,-6730.171450542384
sim-1835442223.msf,SMC4K2PBF,-6733.707559153051
sim-1835442223.msf,SMC4K2PBF,-6689.514159869466
sim-1835442223.msf,SMC4K2PBF,-6734.3543375568925
sim-1835442223.msf,SMC4K2PBF,-6702.278975000957
sim-1835442223.msf,SMC4K2PBF,-6708.171842335135
sim-1835442223.msf,SMC4K2PBF,-6692.923660105033
sim-1835442223.msf,SMC4K2PBF,-6706.947218902068
sim-1835442223.msf,SMC4K2PBF,-6679.960663760226
sim-1835442223.msf,SMC4K2PBF,-6697.221946761012
sim-1835442223.msf,SMC4K2PBF,-6743.782128566115
sim-1835442223.msf,SMC4K2PBF,-6692.001308233554
sim-1835442223.msf,SMC4K2PBF,-6711.220816539153
sim-1835442223.msf,SMC4K2PBF,-6729.34664317345
sim-1835442223.msf,SMC4K2PBF,-6784.1208641900475
sim-1835442223.msf,SMC4K2PBF,-6755.086222637038
sim-1835442223.msf,SMC4K2PBF,-6718.30227440352
sim-1835442223.msf,SMC4K2PBF,-6716.77195061778
sim-1835442223.msf,SMC4K2PBF,-6709.380005320807
sim-1835442223.msf,SMC4K2PBF,-6751.594044437463
sim-1835442223.msf,SMC4K2PBF,-6755.155384437972
sim-1835442223.msf,SMC4K2PBF,-6789.859341840821
sim-1835442223.msf,SMC4K2PBF,-6715.732223717254
sim-1835442223.msf,SMC4K2PBF,-6756.3375306143425
sim-1835442223.msf,SMC4K2PBF,-6695.0073509180565
sim-1835442223.msf,SMC4K2PBF,-6714.181708502469
sim-1835442223.msf,SMC4K2PBF,-6705.650162192656
sim-1835442223.msf,SMC4K2PBF,-6711.6524837193365
sim-1835442223.msf,SMC4K2PBF,-6744.727239603548
sim-1835442223.msf,SMC4K2PBF,-6723.282493069873
sim-1835442223.msf,SMC4K2PBF,-6715.968521720501
sim-1835442223.msf,SMC4K2PBF,-6729.420340246377
sim-1835442223.msf,SMC4K2PBF,-6808.905489373273
sim-1835442223.msf,SMC4K2PBF,-6761.732548125767
sim-1835442223.msf,SMC4K2PBF,-6730.269394025648
sim-1835442223.msf,SMC4K2PBF,-6705.735798968299
sim-1835442223.msf,SMC4K2PBF,-6706.0224771757
sim-1835442223.msf,SMC4K2PBF,-6769.342144945612
sim-1835442223.msf,SMC4K2PBF,-6730.255442988295
sim-1835442223.msf,SMC4K2PBF,-6717.299701126326
sim-1835442223.msf,SMC4K2PBF,-6764.497069355857
sim-1835442223.msf,SMC4K2PBF,-6696.308964434959
sim-1835442223.msf,SMC4K2PBF,-6698.791679498964
sim-1835442223.msf,SMC4K2PBF,-6741.727374497055
sim-1835442223.msf,SMC4K2PBF,-6742.3405796387115
sim-1835442223.msf,SMC4K2PBF,-6704.183933288005
sim-1835442223.msf,SMC4K2PBF,-6716.579939997701
sim-1835442223.msf,SMC4K2PBF,-6697.109559554838
sim-1835442223.msf,SMC4K2PBF,-6745.526677015564
sim-1835442223.msf,SMC4K2PBF,-6720.040981854494
