#Method,IterScale,Repeat,Metric,Value,TreeName,Time
SMC4K2PBF,10.0,0,ConsensusLogLL,-6493.780982951032,sim-1835442223.msf,7870
SMC4K2PBF,10.0,0,BestSampledLogLL,-6495.086911714926,sim-1835442223.msf,7870
SMC4K2PBF,10.0,0,PartitionMetric,10.0,sim-1835442223.msf,7870
SMC4K2PBF,10.0,0,RobinsonFouldsMetric,0.240155824165312,sim-1835442223.msf,7870
SMC4K2PBF,10.0,0,KuhnerFelsenstein,0.0033137554571439362,sim-1835442223.msf,7870
SMC4K2PBF,10.0,1,ConsensusLogLL,-6491.867730555762,sim-1835442223.msf,8672
SMC4K2PBF,10.0,1,BestSampledLogLL,-6492.056302499968,sim-1835442223.msf,8672
SMC4K2PBF,10.0,1,PartitionMetric,12.0,sim-1835442223.msf,8672
SMC4K2PBF,10.0,1,RobinsonFouldsMetric,0.23290117208923095,sim-1835442223.msf,8672
SMC4K2PBF,10.0,1,KuhnerFelsenstein,0.002484404294328003,sim-1835442223.msf,8672
SMC4K2PBF,10.0,2,ConsensusLogLL,-6454.320229701449,sim-1835442223.msf,8698
SMC4K2PBF,10.0,2,BestSampledLogLL,-6454.2576691081695,sim-1835442223.msf,8698
SMC4K2PBF,10.0,2,PartitionMetric,8.0,sim-1835442223.msf,8698
SMC4K2PBF,10.0,2,RobinsonFouldsMetric,0.2054599461668172,sim-1835442223.msf,8698
SMC4K2PBF,10.0,2,KuhnerFelsenstein,0.0025631989357015163,sim-1835442223.msf,8698
SMC4K2PBF,10.0,3,ConsensusLogLL,-6499.117236885982,sim-1835442223.msf,8820
SMC4K2PBF,10.0,3,BestSampledLogLL,-6500.117220005833,sim-1835442223.msf,8820
SMC4K2PBF,10.0,3,PartitionMetric,10.0,sim-1835442223.msf,8820
SMC4K2PBF,10.0,3,RobinsonFouldsMetric,0.21521385427171394,sim-1835442223.msf,8820
SMC4K2PBF,10.0,3,KuhnerFelsenstein,0.0016122391056531491,sim-1835442223.msf,8820
SMC4K2PBF,10.0,4,ConsensusLogLL,-6464.74428299684,sim-1835442223.msf,8770
SMC4K2PBF,10.0,4,BestSampledLogLL,-6465.181571242672,sim-1835442223.msf,8770
SMC4K2PBF,10.0,4,PartitionMetric,8.0,sim-1835442223.msf,8770
SMC4K2PBF,10.0,4,RobinsonFouldsMetric,0.24546392999111413,sim-1835442223.msf,8770
SMC4K2PBF,10.0,4,KuhnerFelsenstein,0.005160484283738922,sim-1835442223.msf,8770
SMC4K2PBF,10.0,5,ConsensusLogLL,-6467.732350005714,sim-1835442223.msf,8725
SMC4K2PBF,10.0,5,BestSampledLogLL,-6467.797442053572,sim-1835442223.msf,8725
SMC4K2PBF,10.0,5,PartitionMetric,10.0,sim-1835442223.msf,8725
SMC4K2PBF,10.0,5,RobinsonFouldsMetric,0.2109861177902506,sim-1835442223.msf,8725
SMC4K2PBF,10.0,5,KuhnerFelsenstein,0.003116252585519183,sim-1835442223.msf,8725
SMC4K2PBF,10.0,6,ConsensusLogLL,-6452.883415569669,sim-1835442223.msf,8742
SMC4K2PBF,10.0,6,BestSampledLogLL,-6453.111563944897,sim-1835442223.msf,8742
SMC4K2PBF,10.0,6,PartitionMetric,10.0,sim-1835442223.msf,8742
SMC4K2PBF,10.0,6,RobinsonFouldsMetric,0.19432969177172743,sim-1835442223.msf,8742
SMC4K2PBF,10.0,6,KuhnerFelsenstein,0.0018469305829174622,sim-1835442223.msf,8742
SMC4K2PBF,10.0,7,ConsensusLogLL,-6467.850610937311,sim-1835442223.msf,8751
SMC4K2PBF,10.0,7,BestSampledLogLL,-6468.016505235101,sim-1835442223.msf,8751
SMC4K2PBF,10.0,7,PartitionMetric,10.0,sim-1835442223.msf,8751
SMC4K2PBF,10.0,7,RobinsonFouldsMetric,0.21992064420707297,sim-1835442223.msf,8751
SMC4K2PBF,10.0,7,KuhnerFelsenstein,0.0022872952168323593,sim-1835442223.msf,8751
SMC4K2PBF,10.0,8,ConsensusLogLL,-6449.325106729064,sim-1835442223.msf,8721
SMC4K2PBF,10.0,8,BestSampledLogLL,-6449.391877024932,sim-1835442223.msf,8721
SMC4K2PBF,10.0,8,PartitionMetric,8.0,sim-1835442223.msf,8721
SMC4K2PBF,10.0,8,RobinsonFouldsMetric,0.173990805525812,sim-1835442223.msf,8721
SMC4K2PBF,10.0,8,KuhnerFelsenstein,0.001884407288608143,sim-1835442223.msf,8721
SMC4K2PBF,10.0,9,ConsensusLogLL,-6461.650095314719,sim-1835442223.msf,8761
SMC4K2PBF,10.0,9,BestSampledLogLL,-6461.725429238056,sim-1835442223.msf,8761
SMC4K2PBF,10.0,9,PartitionMetric,10.0,sim-1835442223.msf,8761
SMC4K2PBF,10.0,9,RobinsonFouldsMetric,0.2346050055167977,sim-1835442223.msf,8761
SMC4K2PBF,10.0,9,KuhnerFelsenstein,0.003378376898946115,sim-1835442223.msf,8761
SMC4K2PBF,10.0,10,ConsensusLogLL,-6508.3161850187535,sim-1835442223.msf,8897
