#Method,IterScale,Repeat,Metric,Value,TreeName,Time
SMC4K2P,1.5,0,ConsensusLogLL,-35319.532430456304,sim--1077759944.msf,29386
SMC4K2P,1.5,0,BestSampledLogLL,-35319.86494223851,sim--1077759944.msf,29386
SMC4K2P,1.5,0,PartitionMetric,34.0,sim--1077759944.msf,29386
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.1695420772369416,sim--1077759944.msf,29386
SMC4K2P,1.5,0,KuhnerFelsenstein,0.015756109193957164,sim--1077759944.msf,29386
SMC4K2P,1.5,0,ConsensusLogLL,-40261.77430081131,sim--1214787956.msf,25704
SMC4K2P,1.5,0,BestSampledLogLL,-40265.07272052958,sim--1214787956.msf,25704
SMC4K2P,1.5,0,PartitionMetric,34.0,sim--1214787956.msf,25704
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.309444865153048,sim--1214787956.msf,25704
SMC4K2P,1.5,0,KuhnerFelsenstein,0.018467429212501274,sim--1214787956.msf,25704
SMC4K2P,1.5,0,ConsensusLogLL,-42141.38129241272,sim--130937290.msf,25031
SMC4K2P,1.5,0,BestSampledLogLL,-42141.16403732049,sim--130937290.msf,25031
SMC4K2P,1.5,0,PartitionMetric,56.0,sim--130937290.msf,25031
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.4947119601463983,sim--130937290.msf,25031
SMC4K2P,1.5,0,KuhnerFelsenstein,0.025310540521522477,sim--130937290.msf,25031
SMC4K2P,1.5,0,ConsensusLogLL,-40981.310644377,sim--1825302504.msf,25405
SMC4K2P,1.5,0,BestSampledLogLL,-40979.60380578842,sim--1825302504.msf,25405
SMC4K2P,1.5,0,PartitionMetric,26.0,sim--1825302504.msf,25405
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.623855325301037,sim--1825302504.msf,25405
SMC4K2P,1.5,0,KuhnerFelsenstein,0.02955284263374976,sim--1825302504.msf,25405
SMC4K2P,1.5,0,ConsensusLogLL,-39074.81395097802,sim--519893856.msf,24442
SMC4K2P,1.5,0,BestSampledLogLL,-39070.75392680885,sim--519893856.msf,24442
SMC4K2P,1.5,0,PartitionMetric,52.0,sim--519893856.msf,24442
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.776462871898308,sim--519893856.msf,24442
SMC4K2P,1.5,0,KuhnerFelsenstein,0.04086936894834659,sim--519893856.msf,24442
SMC4K2P,1.5,0,ConsensusLogLL,-32314.202040997705,sim--830436964.msf,25050
SMC4K2P,1.5,0,BestSampledLogLL,-32311.731407743006,sim--830436964.msf,25050
SMC4K2P,1.5,0,PartitionMetric,56.0,sim--830436964.msf,25050
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.3828709590040924,sim--830436964.msf,25050
SMC4K2P,1.5,0,KuhnerFelsenstein,0.022314279220319037,sim--830436964.msf,25050
SMC4K2P,1.5,0,ConsensusLogLL,-40330.18721444606,sim-1073347605.msf,26051
SMC4K2P,1.5,0,BestSampledLogLL,-40332.36632331935,sim-1073347605.msf,26051
SMC4K2P,1.5,0,PartitionMetric,36.0,sim-1073347605.msf,26051
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.0746464370058342,sim-1073347605.msf,26051
SMC4K2P,1.5,0,KuhnerFelsenstein,0.012260766725790321,sim-1073347605.msf,26051
SMC4K2P,1.5,0,ConsensusLogLL,-41669.46089348492,sim-1567190612.msf,24140
SMC4K2P,1.5,0,BestSampledLogLL,-41672.965320449715,sim-1567190612.msf,24140
SMC4K2P,1.5,0,PartitionMetric,38.0,sim-1567190612.msf,24140
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.5846863941876457,sim-1567190612.msf,24140
SMC4K2P,1.5,0,KuhnerFelsenstein,0.028652474289068024,sim-1567190612.msf,24140
SMC4K2P,1.5,0,ConsensusLogLL,-42559.16594451344,sim-1716832057.msf,26690
SMC4K2P,1.5,0,BestSampledLogLL,-42557.50742920031,sim-1716832057.msf,26690
SMC4K2P,1.5,0,PartitionMetric,28.0,sim-1716832057.msf,26690
SMC4K2P,1.5,0,RobinsonFouldsMetric,0.959376322617975,sim-1716832057.msf,26690
SMC4K2P,1.5,0,KuhnerFelsenstein,0.00932982529092831,sim-1716832057.msf,26690
SMC4K2P,1.5,0,ConsensusLogLL,-37512.472467161395,sim-1795143122.msf,23760
SMC4K2P,1.5,0,BestSampledLogLL,-37516.12713256773,sim-1795143122.msf,23760
SMC4K2P,1.5,0,PartitionMetric,46.0,sim-1795143122.msf,23760
SMC4K2P,1.5,0,RobinsonFouldsMetric,1.4536135385855564,sim-1795143122.msf,23760
SMC4K2P,1.5,0,KuhnerFelsenstein,0.02222230328261036,sim-1795143122.msf,23760
SMC4K2P,1.5,0,ConsensusLogLL,-35974.090801476515,sim-1797838547.msf,24840
