#treeName,Method,logZ
sim--1432205352.msf,SMC4K2P,-28733.10786400119
sim--1482614166.msf,SMC4K2P,-27404.299716710862
sim--1500177642.msf,SMC4K2P,-28925.341904706922
sim--1685487833.msf,SMC4K2P,-27102.979567597693
sim--369703984.msf,SMC4K2P,-27835.447510217637
sim--695187263.msf,SMC4K2P,-26818.122054133626
sim-1074741075.msf,SMC4K2P,-29819.97007058485
sim-1175567582.msf,SMC4K2P,-21346.320213220893
sim-1218015798.msf,SMC4K2P,-25456.276843129366
sim-1429578358.msf,SMC4K2P,-26294.428129481403
sim-1643173098.msf,SMC4K2P,-28176.440514187274
sim-1689014598.msf,SMC4K2P,-28563.03170671803
sim-1835442223.msf,SMC4K2P,-29638.743684789133
sim-1901964914.msf,SMC4K2P,-27307.986886947194
sim-2066892556.msf,SMC4K2P,-24332.708291885378
sim-2071916608.msf,SMC4K2P,-30445.35845803706
sim-263742048.msf,SMC4K2P,-28723.69120561883
sim-784070363.msf,SMC4K2P,-23766.261102052667
sim-795004326.msf,SMC4K2P,-22697.361746868628
sim-999994527.msf,SMC4K2P,-28906.121356286654
