#treeName,Method,logZ
sim--1077759944.msf,SMC4K2PBF,-33548.87666772803
sim--1214787956.msf,SMC4K2PBF,-38522.31332918908
sim--130937290.msf,SMC4K2PBF,-39227.99713422544
sim--1825302504.msf,SMC4K2PBF,-37916.96625150107
sim--519893856.msf,SMC4K2PBF,-35029.90360750748
sim--830436964.msf,SMC4K2PBF,-29933.803790730537
sim-1073347605.msf,SMC4K2PBF,-39273.530740109825
sim-1567190612.msf,SMC4K2PBF,-38454.09155625789
sim-1716832057.msf,SMC4K2PBF,-41977.63945435799
sim-1795143122.msf,SMC4K2PBF,-34718.251207107154
sim-1797838547.msf,SMC4K2PBF,-34111.08664528848
sim-1835442223.msf,SMC4K2PBF,-37826.05689101895
sim-1887969566.msf,SMC4K2PBF,-34911.70792339712
sim-1949751715.msf,SMC4K2PBF,-37151.75495382083
sim-2026003539.msf,SMC4K2PBF,-32633.34519072537
sim-2096462569.msf,SMC4K2PBF,-36966.98655767903
sim-382540742.msf,SMC4K2PBF,-31123.85788434387
sim-457072938.msf,SMC4K2PBF,-33319.98490900183
sim-889487414.msf,SMC4K2PBF,-33541.13540997968
sim-964320404.msf,SMC4K2PBF,-33616.46410136964
