#Method,IterScale,Repeat,Metric,Value,TreeName,Time
SMC4K2PBF,3.0,0,ConsensusLogLL,-20190.63683534492,sim--1112612613.msf,22882
SMC4K2PBF,3.0,0,BestSampledLogLL,-20190.486332829598,sim--1112612613.msf,22882
SMC4K2PBF,3.0,0,PartitionMetric,2.0,sim--1112612613.msf,22882
SMC4K2PBF,3.0,0,RobinsonFouldsMetric,0.055043135592860754,sim--1112612613.msf,22882
SMC4K2PBF,3.0,0,KuhnerFelsenstein,3.5577500607867393E-4,sim--1112612613.msf,22882
SMC4K2PBF,3.0,0,ConsensusLogLL,-18315.24108259867,sim--1371868184.msf,20306
SMC4K2PBF,3.0,0,BestSampledLogLL,-18315.26710972017,sim--1371868184.msf,20306
SMC4K2PBF,3.0,0,PartitionMetric,0.0,sim--1371868184.msf,20306
SMC4K2PBF,3.0,0,RobinsonFouldsMetric,0.04037731627863665,sim--1371868184.msf,20306
SMC4K2PBF,3.0,0,KuhnerFelsenstein,2.3300653111484968E-4,sim--1371868184.msf,20306
SMC4K2PBF,3.0,0,ConsensusLogLL,-19476.21972227438,sim--1426388226.msf,19650
SMC4K2PBF,3.0,0,BestSampledLogLL,-19476.3010887621,sim--1426388226.msf,19650
SMC4K2PBF,3.0,0,PartitionMetric,0.0,sim--1426388226.msf,19650
SMC4K2PBF,3.0,0,RobinsonFouldsMetric,0.03937178689612186,sim--1426388226.msf,19650
SMC4K2PBF,3.0,0,KuhnerFelsenstein,1.5113933501297827E-4,sim--1426388226.msf,19650
SMC4K2PBF,3.0,0,ConsensusLogLL,-17638.653748853336,sim--166143342.msf,19229
SMC4K2PBF,3.0,0,BestSampledLogLL,-17638.854156187863,sim--166143342.msf,19229
SMC4K2PBF,3.0,0,PartitionMetric,0.0,sim--166143342.msf,19229
SMC4K2PBF,3.0,0,RobinsonFouldsMetric,0.034643037363039,sim--166143342.msf,19229
SMC4K2PBF,3.0,0,KuhnerFelsenstein,1.5260526961280725E-4,sim--166143342.msf,19229
SMC4K2PBF,3.0,0,ConsensusLogLL,-18679.335446952202,sim--806148852.msf,19568
SMC4K2PBF,3.0,0,BestSampledLogLL,-18680.479348029115,sim--806148852.msf,19568
SMC4K2PBF,3.0,0,PartitionMetric,2.0,sim--806148852.msf,19568
SMC4K2PBF,3.0,0,RobinsonFouldsMetric,0.03819437940934889,sim--806148852.msf,19568
SMC4K2PBF,3.0,0,KuhnerFelsenstein,1.258320560773426E-4,sim--806148852.msf,19568
SMC4K2PBF,3.0,0,ConsensusLogLL,-18169.24135225695,sim--967935466.msf,19302
SMC4K2PBF,3.0,0,BestSampledLogLL,-18168.801456762445,sim--967935466.msf,19302
SMC4K2PBF,3.0,0,PartitionMetric,2.0,sim--967935466.msf,19302
SMC4K2PBF,3.0,0,RobinsonFouldsMetric,0.04008140563804055,sim--967935466.msf,19302
SMC4K2PBF,3.0,0,KuhnerFelsenstein,1.494515397372693E-4,sim--967935466.msf,19302
