#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2PBF,5000.0,0,ConsensusLogLL,-4743.068989285599,fish.msf,26084678
PGS4K2PBF,5000.0,0,BestSampledLogLL,-Infinity,fish.msf,26084678
PGS4K2PBF,5000.0,0,PartitionMetric,12.0,fish.msf,26084678
PGS4K2PBF,5000.0,0,RobinsonFouldsMetric,0.34673000000000004,fish.msf,26084678
PGS4K2PBF,5000.0,0,KuhnerFelsenstein,0.007708000250000001,fish.msf,26084678
PGS4K2PBF,5000.0,1,ConsensusLogLL,-4735.932876705704,fish.msf,26723722
PGS4K2PBF,5000.0,1,BestSampledLogLL,-Infinity,fish.msf,26723722
PGS4K2PBF,5000.0,1,PartitionMetric,14.0,fish.msf,26723722
PGS4K2PBF,5000.0,1,RobinsonFouldsMetric,0.35335,fish.msf,26723722
PGS4K2PBF,5000.0,1,KuhnerFelsenstein,0.008701467499999999,fish.msf,26723722
PGS4K2PBF,5000.0,2,ConsensusLogLL,-4706.719061250733,fish.msf,26705509
PGS4K2PBF,5000.0,2,BestSampledLogLL,-Infinity,fish.msf,26705509
PGS4K2PBF,5000.0,2,PartitionMetric,12.0,fish.msf,26705509
PGS4K2PBF,5000.0,2,RobinsonFouldsMetric,0.3330499999999999,fish.msf,26705509
PGS4K2PBF,5000.0,2,KuhnerFelsenstein,0.0072797865,fish.msf,26705509
PGS4K2PBF,5000.0,3,ConsensusLogLL,-4756.48875611607,fish.msf,28723732
PGS4K2PBF,5000.0,3,BestSampledLogLL,-Infinity,fish.msf,28723732
PGS4K2PBF,5000.0,3,PartitionMetric,12.0,fish.msf,28723732
PGS4K2PBF,5000.0,3,RobinsonFouldsMetric,0.32737,fish.msf,28723732
PGS4K2PBF,5000.0,3,KuhnerFelsenstein,0.0078897297,fish.msf,28723732
PGS4K2PBF,5000.0,4,ConsensusLogLL,-4767.773052084766,fish.msf,26551669
PGS4K2PBF,5000.0,4,BestSampledLogLL,-Infinity,fish.msf,26551669
PGS4K2PBF,5000.0,4,PartitionMetric,12.0,fish.msf,26551669
PGS4K2PBF,5000.0,4,RobinsonFouldsMetric,0.38955,fish.msf,26551669
PGS4K2PBF,5000.0,4,KuhnerFelsenstein,0.0091627475,fish.msf,26551669
PGS4K2PBF,5000.0,5,ConsensusLogLL,-4754.919328480836,fish.msf,26999366
PGS4K2PBF,5000.0,5,BestSampledLogLL,-Infinity,fish.msf,26999366
PGS4K2PBF,5000.0,5,PartitionMetric,14.0,fish.msf,26999366
PGS4K2PBF,5000.0,5,RobinsonFouldsMetric,0.35355000000000003,fish.msf,26999366
PGS4K2PBF,5000.0,5,KuhnerFelsenstein,0.0073796329,fish.msf,26999366
PGS4K2PBF,5000.0,6,ConsensusLogLL,-4745.169471714598,fish.msf,26854077
PGS4K2PBF,5000.0,6,BestSampledLogLL,-Infinity,fish.msf,26854077
PGS4K2PBF,5000.0,6,PartitionMetric,14.0,fish.msf,26854077
PGS4K2PBF,5000.0,6,RobinsonFouldsMetric,0.35112000000000004,fish.msf,26854077
PGS4K2PBF,5000.0,6,KuhnerFelsenstein,0.007981089,fish.msf,26854077
PGS4K2PBF,5000.0,7,ConsensusLogLL,-4695.460654866098,fish.msf,26813228
PGS4K2PBF,5000.0,7,BestSampledLogLL,-Infinity,fish.msf,26813228
PGS4K2PBF,5000.0,7,PartitionMetric,12.0,fish.msf,26813228
PGS4K2PBF,5000.0,7,RobinsonFouldsMetric,0.35815,fish.msf,26813228
PGS4K2PBF,5000.0,7,KuhnerFelsenstein,0.0075527675,fish.msf,26813228
PGS4K2PBF,5000.0,8,ConsensusLogLL,-4718.857783080932,fish.msf,26793599
PGS4K2PBF,5000.0,8,BestSampledLogLL,-Infinity,fish.msf,26793599
PGS4K2PBF,5000.0,8,PartitionMetric,14.0,fish.msf,26793599
PGS4K2PBF,5000.0,8,RobinsonFouldsMetric,0.3510999999999999,fish.msf,26793599
PGS4K2PBF,5000.0,8,KuhnerFelsenstein,0.007797779999999999,fish.msf,26793599
