#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGAS4K2PBF,5000.0,0,ConsensusLogLL,-4745.228696793723,fish.msf,28470428
PGAS4K2PBF,5000.0,0,BestSampledLogLL,-Infinity,fish.msf,28470428
PGAS4K2PBF,5000.0,0,PartitionMetric,12.0,fish.msf,28470428
PGAS4K2PBF,5000.0,0,RobinsonFouldsMetric,0.33240000000000003,fish.msf,28470428
PGAS4K2PBF,5000.0,0,KuhnerFelsenstein,0.007138795000000001,fish.msf,28470428
PGAS4K2PBF,5000.0,1,ConsensusLogLL,-4721.841740726017,fish.msf,28640027
PGAS4K2PBF,5000.0,1,BestSampledLogLL,-Infinity,fish.msf,28640027
PGAS4K2PBF,5000.0,1,PartitionMetric,14.0,fish.msf,28640027
PGAS4K2PBF,5000.0,1,RobinsonFouldsMetric,0.4029,fish.msf,28640027
PGAS4K2PBF,5000.0,1,KuhnerFelsenstein,0.008720490000000001,fish.msf,28640027
PGAS4K2PBF,5000.0,2,ConsensusLogLL,-4721.0135043407445,fish.msf,29196142
PGAS4K2PBF,5000.0,2,BestSampledLogLL,-Infinity,fish.msf,29196142
PGAS4K2PBF,5000.0,2,PartitionMetric,12.0,fish.msf,29196142
PGAS4K2PBF,5000.0,2,RobinsonFouldsMetric,0.3384,fish.msf,29196142
PGAS4K2PBF,5000.0,2,KuhnerFelsenstein,0.006877365,fish.msf,29196142
PGAS4K2PBF,5000.0,3,ConsensusLogLL,-4742.9566369652675,fish.msf,28331575
PGAS4K2PBF,5000.0,3,BestSampledLogLL,-Infinity,fish.msf,28331575
PGAS4K2PBF,5000.0,3,PartitionMetric,12.0,fish.msf,28331575
PGAS4K2PBF,5000.0,3,RobinsonFouldsMetric,0.3311,fish.msf,28331575
PGAS4K2PBF,5000.0,3,KuhnerFelsenstein,0.0077985500000000004,fish.msf,28331575
PGAS4K2PBF,5000.0,4,ConsensusLogLL,-4732.208964050611,fish.msf,28452279
PGAS4K2PBF,5000.0,4,BestSampledLogLL,-Infinity,fish.msf,28452279
PGAS4K2PBF,5000.0,4,PartitionMetric,14.0,fish.msf,28452279
PGAS4K2PBF,5000.0,4,RobinsonFouldsMetric,0.33594999999999997,fish.msf,28452279
PGAS4K2PBF,5000.0,4,KuhnerFelsenstein,0.007337422499999999,fish.msf,28452279
PGAS4K2PBF,5000.0,5,ConsensusLogLL,-4718.472773529033,fish.msf,28992414
PGAS4K2PBF,5000.0,5,BestSampledLogLL,-Infinity,fish.msf,28992414
PGAS4K2PBF,5000.0,5,PartitionMetric,14.0,fish.msf,28992414
PGAS4K2PBF,5000.0,5,RobinsonFouldsMetric,0.33983,fish.msf,28992414
PGAS4K2PBF,5000.0,5,KuhnerFelsenstein,0.007783628900000001,fish.msf,28992414
PGAS4K2PBF,5000.0,6,ConsensusLogLL,-4761.529782425865,fish.msf,29206178
PGAS4K2PBF,5000.0,6,BestSampledLogLL,-Infinity,fish.msf,29206178
PGAS4K2PBF,5000.0,6,PartitionMetric,14.0,fish.msf,29206178
PGAS4K2PBF,5000.0,6,RobinsonFouldsMetric,0.34655,fish.msf,29206178
PGAS4K2PBF,5000.0,6,KuhnerFelsenstein,0.007204347900000001,fish.msf,29206178
PGAS4K2PBF,5000.0,7,ConsensusLogLL,-4725.461665556968,fish.msf,29210545
PGAS4K2PBF,5000.0,7,BestSampledLogLL,-Infinity,fish.msf,29210545
PGAS4K2PBF,5000.0,7,PartitionMetric,12.0,fish.msf,29210545
PGAS4K2PBF,5000.0,7,RobinsonFouldsMetric,0.38027,fish.msf,29210545
PGAS4K2PBF,5000.0,7,KuhnerFelsenstein,0.0082471365,fish.msf,29210545
