#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGAS4K2PBF,5000.0,0,ConsensusLogLL,-4710.433838923498,fish.msf,31779712
PGAS4K2PBF,5000.0,0,BestSampledLogLL,-Infinity,fish.msf,31779712
PGAS4K2PBF,5000.0,0,PartitionMetric,14.0,fish.msf,31779712
PGAS4K2PBF,5000.0,0,RobinsonFouldsMetric,0.3767500000000001,fish.msf,31779712
PGAS4K2PBF,5000.0,0,KuhnerFelsenstein,0.007583127500000002,fish.msf,31779712
PGAS4K2PBF,5000.0,1,ConsensusLogLL,-4754.464948493414,fish.msf,31797214
PGAS4K2PBF,5000.0,1,BestSampledLogLL,-Infinity,fish.msf,31797214
PGAS4K2PBF,5000.0,1,PartitionMetric,14.0,fish.msf,31797214
PGAS4K2PBF,5000.0,1,RobinsonFouldsMetric,0.329,fish.msf,31797214
PGAS4K2PBF,5000.0,1,KuhnerFelsenstein,0.006870270000000001,fish.msf,31797214
PGAS4K2PBF,5000.0,2,ConsensusLogLL,-4765.9851210062025,fish.msf,33921340
PGAS4K2PBF,5000.0,2,BestSampledLogLL,-Infinity,fish.msf,33921340
PGAS4K2PBF,5000.0,2,PartitionMetric,14.0,fish.msf,33921340
PGAS4K2PBF,5000.0,2,RobinsonFouldsMetric,0.4123199999999999,fish.msf,33921340
PGAS4K2PBF,5000.0,2,KuhnerFelsenstein,0.010898115999999998,fish.msf,33921340
PGAS4K2PBF,5000.0,3,ConsensusLogLL,-4742.572663304827,fish.msf,31827362
PGAS4K2PBF,5000.0,3,BestSampledLogLL,-Infinity,fish.msf,31827362
PGAS4K2PBF,5000.0,3,PartitionMetric,12.0,fish.msf,31827362
PGAS4K2PBF,5000.0,3,RobinsonFouldsMetric,0.34905,fish.msf,31827362
PGAS4K2PBF,5000.0,3,KuhnerFelsenstein,0.0087810925,fish.msf,31827362
PGAS4K2PBF,5000.0,4,ConsensusLogLL,-4688.502998707441,fish.msf,31757222
PGAS4K2PBF,5000.0,4,BestSampledLogLL,-Infinity,fish.msf,31757222
PGAS4K2PBF,5000.0,4,PartitionMetric,14.0,fish.msf,31757222
PGAS4K2PBF,5000.0,4,RobinsonFouldsMetric,0.36405000000000004,fish.msf,31757222
PGAS4K2PBF,5000.0,4,KuhnerFelsenstein,0.0079267675,fish.msf,31757222
PGAS4K2PBF,5000.0,5,ConsensusLogLL,-4744.139636579108,fish.msf,31736933
PGAS4K2PBF,5000.0,5,BestSampledLogLL,-Infinity,fish.msf,31736933
PGAS4K2PBF,5000.0,5,PartitionMetric,14.0,fish.msf,31736933
PGAS4K2PBF,5000.0,5,RobinsonFouldsMetric,0.3315,fish.msf,31736933
PGAS4K2PBF,5000.0,5,KuhnerFelsenstein,0.007454649199999998,fish.msf,31736933
PGAS4K2PBF,5000.0,6,ConsensusLogLL,-4759.516363659999,fish.msf,31727893
PGAS4K2PBF,5000.0,6,BestSampledLogLL,-Infinity,fish.msf,31727893
PGAS4K2PBF,5000.0,6,PartitionMetric,14.0,fish.msf,31727893
PGAS4K2PBF,5000.0,6,RobinsonFouldsMetric,0.35091999999999995,fish.msf,31727893
PGAS4K2PBF,5000.0,6,KuhnerFelsenstein,0.007742454000000001,fish.msf,31727893
PGAS4K2PBF,5000.0,7,ConsensusLogLL,-4719.925289766244,fish.msf,31720937
PGAS4K2PBF,5000.0,7,BestSampledLogLL,-Infinity,fish.msf,31720937
PGAS4K2PBF,5000.0,7,PartitionMetric,14.0,fish.msf,31720937
PGAS4K2PBF,5000.0,7,RobinsonFouldsMetric,0.35327,fish.msf,31720937
PGAS4K2PBF,5000.0,7,KuhnerFelsenstein,0.007993023499999998,fish.msf,31720937
