#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2P,5000.0,0,ConsensusLogLL,-8625.315819788168,mtprim9.phy.alter.msf,4462381
PGS4K2P,5000.0,0,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4462381
PGS4K2P,5000.0,0,PartitionMetric,12.0,mtprim9.phy.alter.msf,4462381
PGS4K2P,5000.0,0,RobinsonFouldsMetric,1.7195000000000003,mtprim9.phy.alter.msf,4462381
PGS4K2P,5000.0,0,KuhnerFelsenstein,0.23921963000000004,mtprim9.phy.alter.msf,4462381
PGS4K2P,5000.0,1,ConsensusLogLL,-8027.989702599273,mtprim9.phy.alter.msf,4438447
PGS4K2P,5000.0,1,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4438447
PGS4K2P,5000.0,1,PartitionMetric,12.0,mtprim9.phy.alter.msf,4438447
PGS4K2P,5000.0,1,RobinsonFouldsMetric,1.5273500000000002,mtprim9.phy.alter.msf,4438447
PGS4K2P,5000.0,1,KuhnerFelsenstein,0.21375526750000004,mtprim9.phy.alter.msf,4438447
PGS4K2P,5000.0,2,ConsensusLogLL,-8424.617218196243,mtprim9.phy.alter.msf,4412528
PGS4K2P,5000.0,2,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4412528
PGS4K2P,5000.0,2,PartitionMetric,12.0,mtprim9.phy.alter.msf,4412528
PGS4K2P,5000.0,2,RobinsonFouldsMetric,1.3129,mtprim9.phy.alter.msf,4412528
PGS4K2P,5000.0,2,KuhnerFelsenstein,0.15475716000000003,mtprim9.phy.alter.msf,4412528
PGS4K2P,5000.0,3,ConsensusLogLL,-6999.676504669901,mtprim9.phy.alter.msf,4410277
PGS4K2P,5000.0,3,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4410277
PGS4K2P,5000.0,3,PartitionMetric,12.0,mtprim9.phy.alter.msf,4410277
PGS4K2P,5000.0,3,RobinsonFouldsMetric,1.2143500000000003,mtprim9.phy.alter.msf,4410277
PGS4K2P,5000.0,3,KuhnerFelsenstein,0.13169774750000002,mtprim9.phy.alter.msf,4410277
PGS4K2P,5000.0,4,ConsensusLogLL,-7972.395071357789,mtprim9.phy.alter.msf,4424015
PGS4K2P,5000.0,4,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4424015
PGS4K2P,5000.0,4,PartitionMetric,10.0,mtprim9.phy.alter.msf,4424015
PGS4K2P,5000.0,4,RobinsonFouldsMetric,1.2242500000000003,mtprim9.phy.alter.msf,4424015
PGS4K2P,5000.0,4,KuhnerFelsenstein,0.12822174250000004,mtprim9.phy.alter.msf,4424015
PGS4K2P,5000.0,5,ConsensusLogLL,-9481.015747301246,mtprim9.phy.alter.msf,4399840
PGS4K2P,5000.0,5,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4399840
PGS4K2P,5000.0,5,PartitionMetric,12.0,mtprim9.phy.alter.msf,4399840
PGS4K2P,5000.0,5,RobinsonFouldsMetric,1.6593,mtprim9.phy.alter.msf,4399840
PGS4K2P,5000.0,5,KuhnerFelsenstein,0.25743831,mtprim9.phy.alter.msf,4399840
PGS4K2P,5000.0,6,ConsensusLogLL,-7247.532206323023,mtprim9.phy.alter.msf,4431096
PGS4K2P,5000.0,6,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4431096
PGS4K2P,5000.0,6,PartitionMetric,12.0,mtprim9.phy.alter.msf,4431096
PGS4K2P,5000.0,6,RobinsonFouldsMetric,1.3054500000000002,mtprim9.phy.alter.msf,4431096
PGS4K2P,5000.0,6,KuhnerFelsenstein,0.1408142625,mtprim9.phy.alter.msf,4431096
PGS4K2P,5000.0,7,ConsensusLogLL,-8522.66670572476,mtprim9.phy.alter.msf,4411805
PGS4K2P,5000.0,7,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4411805
PGS4K2P,5000.0,7,PartitionMetric,12.0,mtprim9.phy.alter.msf,4411805
PGS4K2P,5000.0,7,RobinsonFouldsMetric,1.6908,mtprim9.phy.alter.msf,4411805
PGS4K2P,5000.0,7,KuhnerFelsenstein,0.2569490200000001,mtprim9.phy.alter.msf,4411805
PGS4K2P,5000.0,8,ConsensusLogLL,-8466.254395351487,mtprim9.phy.alter.msf,4420990
PGS4K2P,5000.0,8,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4420990
PGS4K2P,5000.0,8,PartitionMetric,10.0,mtprim9.phy.alter.msf,4420990
PGS4K2P,5000.0,8,RobinsonFouldsMetric,1.4459000000000004,mtprim9.phy.alter.msf,4420990
PGS4K2P,5000.0,8,KuhnerFelsenstein,0.167998535,mtprim9.phy.alter.msf,4420990
PGS4K2P,5000.0,9,ConsensusLogLL,-8702.215272833208,mtprim9.phy.alter.msf,4432460
PGS4K2P,5000.0,9,BestSampledLogLL,-Infinity,mtprim9.phy.alter.msf,4432460
PGS4K2P,5000.0,9,PartitionMetric,12.0,mtprim9.phy.alter.msf,4432460
PGS4K2P,5000.0,9,RobinsonFouldsMetric,1.3153000000000001,mtprim9.phy.alter.msf,4432460
PGS4K2P,5000.0,9,KuhnerFelsenstein,0.14530437000000002,mtprim9.phy.alter.msf,4432460
