#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2PBF,5000.0,0,ConsensusLogLL,-4738.216625597723,fish.msf,32439324
PGS4K2PBF,5000.0,0,BestSampledLogLL,-Infinity,fish.msf,32439324
PGS4K2PBF,5000.0,0,PartitionMetric,14.0,fish.msf,32439324
PGS4K2PBF,5000.0,0,RobinsonFouldsMetric,0.3973,fish.msf,32439324
PGS4K2PBF,5000.0,0,KuhnerFelsenstein,0.009158925000000002,fish.msf,32439324
PGS4K2PBF,5000.0,1,ConsensusLogLL,-4744.47167763568,fish.msf,32399701
PGS4K2PBF,5000.0,1,BestSampledLogLL,-Infinity,fish.msf,32399701
PGS4K2PBF,5000.0,1,PartitionMetric,14.0,fish.msf,32399701
PGS4K2PBF,5000.0,1,RobinsonFouldsMetric,0.38360000000000005,fish.msf,32399701
PGS4K2PBF,5000.0,1,KuhnerFelsenstein,0.009999309999999999,fish.msf,32399701
PGS4K2PBF,5000.0,2,ConsensusLogLL,-4743.498945707304,fish.msf,32292129
PGS4K2PBF,5000.0,2,BestSampledLogLL,-Infinity,fish.msf,32292129
PGS4K2PBF,5000.0,2,PartitionMetric,14.0,fish.msf,32292129
PGS4K2PBF,5000.0,2,RobinsonFouldsMetric,0.38665999999999995,fish.msf,32292129
PGS4K2PBF,5000.0,2,KuhnerFelsenstein,0.009503374,fish.msf,32292129
