#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGAS4K2PBF,5000.0,0,ConsensusLogLL,-4767.161780084206,fish.msf,32381489
PGAS4K2PBF,5000.0,0,BestSampledLogLL,-Infinity,fish.msf,32381489
PGAS4K2PBF,5000.0,0,PartitionMetric,14.0,fish.msf,32381489
PGAS4K2PBF,5000.0,0,RobinsonFouldsMetric,0.33515,fish.msf,32381489
PGAS4K2PBF,5000.0,0,KuhnerFelsenstein,0.0079039225,fish.msf,32381489
PGAS4K2PBF,5000.0,1,ConsensusLogLL,-4727.9142080682695,fish.msf,32448159
PGAS4K2PBF,5000.0,1,BestSampledLogLL,-Infinity,fish.msf,32448159
PGAS4K2PBF,5000.0,1,PartitionMetric,12.0,fish.msf,32448159
PGAS4K2PBF,5000.0,1,RobinsonFouldsMetric,0.36185000000000006,fish.msf,32448159
PGAS4K2PBF,5000.0,1,KuhnerFelsenstein,0.0073476424999999995,fish.msf,32448159
PGAS4K2PBF,5000.0,2,ConsensusLogLL,-4723.114457082294,fish.msf,32403148
PGAS4K2PBF,5000.0,2,BestSampledLogLL,-Infinity,fish.msf,32403148
PGAS4K2PBF,5000.0,2,PartitionMetric,12.0,fish.msf,32403148
PGAS4K2PBF,5000.0,2,RobinsonFouldsMetric,0.34619999999999995,fish.msf,32403148
PGAS4K2PBF,5000.0,2,KuhnerFelsenstein,0.00756544,fish.msf,32403148
