#Method,IterScale,Repeat,Metric,Value,TreeName,Time
PGS4K2P,5000.0,0,ConsensusLogLL,-6130.00361021344,fish.msf,17215828
PGS4K2P,5000.0,0,BestSampledLogLL,-Infinity,fish.msf,17215828
PGS4K2P,5000.0,0,PartitionMetric,16.0,fish.msf,17215828
PGS4K2P,5000.0,0,RobinsonFouldsMetric,0.9204999999999999,fish.msf,17215828
PGS4K2P,5000.0,0,KuhnerFelsenstein,0.07265563,fish.msf,17215828
PGS4K2P,5000.0,1,ConsensusLogLL,-6979.570955903047,fish.msf,17226747
PGS4K2P,5000.0,1,BestSampledLogLL,-Infinity,fish.msf,17226747
PGS4K2P,5000.0,1,PartitionMetric,18.0,fish.msf,17226747
PGS4K2P,5000.0,1,RobinsonFouldsMetric,0.9612999999999998,fish.msf,17226747
PGS4K2P,5000.0,1,KuhnerFelsenstein,0.066087625,fish.msf,17226747
